ident;type;name;iso_country;iso_region;municipality;gps_code;iata_code;local_code;longitude;latitude
MMHO;large_airport;General Ignacio P. Garcia International Airport;MX;MX-SON;Hermosillo;MMHO;HMO;;-111.047996521; 29.095899581900003
MMMX;large_airport;Licenciado Benito Juarez International Airport;MX;MX-DIF;Mexico City;MMMX;MEX;ME1;-99.072098; 19.4363
MMMY;large_airport;General Mariano Escobedo International Airport;MX;MX-NLE;Monterrey;MMMY;MTY;;-100.107002258; 25.7784996033
MMNG;small_airport;Nogales International Airport;MX;MX-SON;;MMNG;NOG;;-110.97599792480469; 31.22610092163086
MMSP;medium_airport;Ponciano Arriaga International Airport;MX;MX-SLP;San Luis PotosÃ­;MMSP;SLP;;-100.930999756; 22.254299163800003
MMTM;medium_airport;General Francisco Javier Mina International Airport;MX;MX-TAM;Tampico;MMTM;TAM;;-97.8658981323; 22.2964000702
MMUN;large_airport;CancÃºn International Airport;MX;MX-ROO;CancÃºn;MMUN;CUN;;-86.8770980835; 21.036500930800003
MMVR;medium_airport;General Heriberto Jara International Airport;MX;MX-VER;Veracruz;MMVR;VER;;-96.1873016357; 19.1459007263
MPBO;medium_airport;Bocas Del Toro International Airport;PA;PA-1;Isla ColÃ³n;MPBO;BOC;;-82.25080108642578; 9.340849876403809
MPTO;large_airport;Tocumen International Airport;PA;PA-8;Tocumen;MPTO;PTY;;-79.3834991455; 9.0713596344
MROC;medium_airport;Juan Santamaria International Airport;CR;CR-A;San Jose;MROC;SJO;;-84.20880126953125; 9.993860244750977
MTCH;medium_airport;Cap Haitien International Airport;HT;HT-ND;Cap Haitien;MTCH;CAP;;-72.194702; 19.733
MTPX;medium_airport;Port-de-Paix Airport;HT;HT-NO;Port-de-Paix;MTPX;PAX;;-72.84860229492188; 19.9335994720459
MUSJ;medium_airport;San Julian Air Base;CU;CU-01;Pinar Del Rio;MUSJ;SNJ;;-84.1520004272461; 22.095300674438477
MWCR;large_airport;Owen Roberts International Airport;KY;KY-U-A;Georgetown;MWCR;GCM;;-81.3576965332; 19.292800903299998
MYAB;medium_airport;Clarence A. Bain Airport;BS;BS-KB;Mangrove Cay;MYAB;MAY;;-77.68460083007812; 24.287700653076172
MYNN;large_airport;Lynden Pindling International Airport;BS;BS-NP;Nassau;MYNN;NAS;;-77.46620178219999; 25.0389995575
NGNU;small_airport;Nikunau Airport;KI;KI-G;Nikunau;NGNU;NIG;;176.410003662; -1.31444001198
NOM;small_airport;Nomad River Airport;PG;PG-WPD;Nomad River;;NOM;NDR;142.234166667; -6.294
NOO;small_airport;Naoro Airport;PG;PG-CPM;Naoro Vilage;;NOO;NAO;147.621352; -9.254455
NVSM;small_airport;Lamen Bay Airport;VU;VU-SEE;Lamen Bay;NVSM;LNB;;168.158996582; -16.584199905400002
NZCI;medium_airport;Chatham Islands-Tuuta Airport;NZ;NZ-WGN;Waitangi;NZCI;CHT;;-176.45700073242188; -43.810001373291016
NZFJ;small_airport;Franz Josef Aerodrome;NZ;NZ-WTC;;NZFJ;WHO;;170.13400268554688; -43.36309814453125
NZMC;medium_airport;Mount Cook Airport;NZ;NZ-CAN;;NZMC;MON;;170.13299560546875; -43.76499938964844
OAIX;medium_airport;Bagram Air Base;AF;AF-PAR;Bagram;OAIX;OAI;;69.26499938959999; 34.9460983276
OEMA;large_airport;Prince Mohammad Bin Abdulaziz Airport;SA;SA-03;Medina;OEMA;MED;;39.705101; 24.5534
OINE;small_airport;Kalaleh Airport;IR;IR-27;Kalaleh;OINE;KLM;;55.4519996643; 37.3833007812
OITL;medium_airport;Ardabil Airport;IR;IR-03;Ardabil;OITL;ADU;;48.4244003296; 38.3256988525
OMAA;large_airport;Abu Dhabi International Airport;AE;AE-AZ;Abu Dhabi;OMAA;AUH;;54.651100158691406; 24.433000564575195
OSAP;large_airport;Aleppo International Airport;SY;SY-HL;Aleppo;OSAP;ALP;;37.22439956665039; 36.18069839477539
OTT;small_airport;Andre Maggi Airport;BR;BR-MT;CotriguaÃ§u;;OTT;;-58.581944; -9.898611
PAFR;heliport;Bryant Army Heliport;US;US-AK;Fort Richardson(Anchorage);PAFR;FRN;FRN;-149.6529999; 61.26639938
PAGA;medium_airport;Edward G. Pitka Sr Airport;US;US-AK;Galena;PAGA;GAL;GAL;-156.9369965; 64.73619843
PAGN;seaplane_base;Angoon Seaplane Base;US;US-AK;Angoon;PAGN;AGN;AGN;-134.585007; 57.503601
PAHN;medium_airport;Haines Airport;US;US-AK;Haines;PAHN;HNS;HNS;-135.5240020751953; 59.24380111694336
PAHO;medium_airport;Homer Airport;US;US-AK;Homer;PAHO;HOM;HOM;-151.4770050048828; 59.645599365234375
PAKV;small_airport;Kaltag Airport;US;US-AK;Kaltag;PAKV;KAL;KAL;-158.7409973; 64.31909943
PANC;large_airport;Ted Stevens Anchorage International Airport;US;US-AK;Anchorage;PANC;ANC;ANC;-149.99600219726562; 61.174400329589844
PAPO;small_airport;Point Hope Airport;US;US-AK;Point Hope;PAPO;PHO;PHO;-166.7989959716797; 68.34880065917969
PASC;medium_airport;Deadhorse Airport;US;US-AK;Deadhorse;PASC;SCC;SCC;-148.4649963; 70.19470215
PASD;medium_airport;Sand Point Airport;US;US-AK;Sand Point;PASD;SDP;SDP;-160.5229949951172; 55.314998626708984
PASN;medium_airport;St Paul Island Airport;US;US-AK;St Paul Island;PASN;SNP;SNP;-170.22000122070312; 57.167301177978516
PAUN;small_airport;Unalakleet Airport;US;US-AK;Unalakleet;PAUN;UNK;UNK;-160.798996; 63.88840103
PG-0009;small_airport;Garaina Airport;PG;PG-MPL;Garaina;AYGI;GAR;GNA;147.141265869; -7.875625027460001
PHKO;medium_airport;Ellison Onizuka Kona International At Keahole Airport;US;US-HI;Kailua/Kona;PHKO;KOA;KOA;-156.045603; 19.738783
PHLI;medium_airport;Lihue Airport;US;US-HI;Lihue;PHLI;LIH;LIH;-159.33900451660156; 21.97599983215332
PHOG;medium_airport;Kahului Airport;US;US-HI;Kahului;PHOG;OGG;OGG;-156.429993; 20.8986
PK-0001;large_airport;New Islamabad International Airport;PK;PK-PB;Islamabad;OPIS;ISB;OPIS;72.851613; 33.560713
PK-GRT;small_airport;Gujrat Airport;PK;PK-PB;Gujrat;;GRT;;74.07710266113281; 32.60309982299805
PPIZ;medium_airport;Point Lay LRRS Airport;US;US-AK;Point Lay;PPIZ;PIZ;PIZ;-163.0050049; 69.73290253
RJAA;large_airport;Narita International Airport;JP;JP-12;Tokyo;RJAA;NRT;;140.386001587; 35.7647018433
RKJU;small_airport;Jeon Ju Airport (G-703);KR;KR-45;Jeon Ju;RKJU;CHN;;127.119112; 35.87808
RKPE;small_airport;Jinhae Airbase/Airport (G-813/K-10);KR;KR-48;Jinhae;RKPE;CHF;;128.696229; 35.140248
RKSI;large_airport;Incheon International Airport;KR;KR-28;Seoul;RKSI;ICN;;126.45099639892578; 37.46910095214844
RKSO;large_airport;Osan Air Base;KR;KR-41;;RKSO;OSN;;127.029999; 37.090599
RODN;large_airport;Kadena Air Base;JP;JP-47;;RODN;DNA;;127.767998; 26.3556
RPUM;medium_airport;Mamburao Airport;PH;PH-MDC;;RPUM;MBO;;120.6050033569336; 13.208100318908691
RPVA;medium_airport;Daniel Z. Romualdez Airport;PH;PH-LEY;Tacloban City;RPVA;TAC;DZR;125.027761; 11.228035
SAAR;medium_airport;Islas Malvinas Airport;AR;AR-S;Rosario;SAAR;ROS;ROS;-60.785; -32.9036
SAEZ;large_airport;Ministro Pistarini International Airport;AR;AR-B;Buenos Aires;SAEZ;EZE;EZE;-58.5358; -34.8222
SANT;medium_airport;Teniente Benjamin Matienzo Airport;AR;AR-T;San Miguel de TucumÃ¡n;SANT;TUC;TUC;-65.104897; -26.8409
SAS;small_airport;Salton Sea Airport;US;US-CA;Salton City;KSAS;SAS;SAS;-115.952003479; 33.2414016724
SATC;small_airport;Clorinda Airport;AR;AR-P;Clorinda;SATC;CLX;CLO;-57.7344; -25.3036
SAZO;medium_airport;Necochea Airport;AR;AR-B;Necochea;SAZO;NEC;NEC;-58.8172; -38.4831
SAZW;medium_airport;Cutral-Co Airport;AR;AR-Q;Cutral-Co;SAZW;CUT;CUT;-69.2646026611; -38.939701080300004
SBBE;large_airport;Val de Cans/JÃºlio Cezar Ribeiro International Airport;BR;BR-PA;BelÃ©m;SBBE;BEL;;-48.4762992859; -1.3792500495900002
SBBU;medium_airport;Bauru Airport;BR;BR-SP;Bauru;SBBU;BAU;;-49.0537986755; -22.3449993134
SBCV;medium_airport;Caravelas Airport;BR;BR-BA;Caravelas;SBCV;CRQ;;-39.253101348877; -17.652299880981
SBDB;small_airport;Bonito Airport;BR;BR-MS;Bonito;SBDB;BYO;;-56.4525; -21.2473
SBFZ;medium_airport;Pinto Martins International Airport;BR;BR-CE;Fortaleza;SBFZ;FOR;;-38.53260040283203; -3.776279926300049
SBGR;large_airport;Guarulhos - Governador AndrÃ© Franco Montoro International Airport;BR;BR-SP;SÃ£o Paulo;SBGR;GRU;;-46.47305679321289; -23.435556411743164
SBPC;medium_airport;PoÃ§os de Caldas - Embaixador Walther Moreira Salles Airport;BR;BR-MG;PoÃ§os De Caldas;SBPC;POO;;-46.567901611328; -21.843000411987
SBTL;medium_airport;TelÃªmaco Borba Airport;BR;BR-PR;TelÃªmaco Borba;SBTL;TEC;;-50.6515998840332; -24.317800521850586
SBTU;medium_airport;TucuruÃ­ Airport;BR;BR-PA;TucuruÃ­;SBTU;TUR;;-49.72029876709; -3.7860100269318
SCAN;small_airport;San Rafael Airport;CL;CL-VS;Los Andes;SCAN;LOB;;-70.64669799804688; -32.81420135498047
SCEL;large_airport;Comodoro Arturo Merino BenÃ­tez International Airport;CL;CL-RM;Santiago;SCEL;SCL;;-70.78579711914062; -33.393001556396484
SCEV;small_airport;El Avellano Airport;CL;CL-LL;Frutillar;SCEV;FRT;;-73.05000305175781; -41.117000579833984
SEMA;medium_airport;Jose Maria Velasco Ibarra Airport;EC;EC-L;MacarÃ¡;SEMA;MRR;;-79.94100189210002; -4.37823009491
SEQM;large_airport;Mariscal Sucre International Airport;EC;EC-P;Quito;SEQM;UIO;UIO;-78.3575; -0.129166666667
SFR;closed;San Fernando Airport;US;US-CA;Los Angeles;;SFR;;-118.422; 34.289
SK-116;small_airport;Pore Airport;CO;CO-CAS;Pore;;PRE;POR;-71.983333; 5.733333
SK-217;small_airport;Medina Airport;CO;CO-CUN;Medina;;MND;MND;-73.283333; 4.516667
SK-245;small_airport;Santana Ramos Airport;CO;CO-HUI;Santana Ramos;;SRO;SRO;-75.25; 2.216667
SKBO;large_airport;El Dorado International Airport;CO;CO-CUN;Bogota;SKBO;BOG;BOG;-74.1469; 4.70159
SKGP;medium_airport;Juan Casiano Airport;CO;CO-CAU;Guapi;SKGP;GPI;GPI;-77.8986; 2.57013
SKRG;medium_airport;Jose Maria CÃ³rdova International Airport;CO;CO-ANT;MedellÃ­n;SKRG;MDE;MDE;-75.4231; 6.16454
SNPX;small_airport;Pirapora Airport;BR;BR-MG;Pirapora;SNPX;PIV;SNPX;-44.86029815673828; -17.3169002532959
SNYE;small_airport;Pinheiro Airport;BR;BR-MA;Pinheiro;SNYE;PHI;SNYE;-45.067222595214844; -2.4836111068725586
SPEO;medium_airport;Teniente FAP Jaime A De Montreuil Morales Airport;PE;PE-ANC;Chimbote;SPEO;CHM;;-78.5238037109375; -9.149609565734863
SPIM;large_airport;Jorge ChÃ¡vez International Airport;PE;PE-LIM;Lima;SPJC;LIM;;-77.114305; -12.0219
SPTU;medium_airport;Padre Aldamiz International Airport;PE;PE-MDD;Puerto Maldonado;SPTU;PEM;;-69.2285995483; -12.6135997772
SRL;small_airport;Palo Verde Airport;MX;MX-BCS;Santa Rosalia;;SRL;CIB;-112.0985; 27.0927
SSDO;small_airport;Dourados Airport;BR;BR-MS;Dourados;SBDO;DOU;SBDO;-54.926601; -22.2019
SSLN;small_airport;Helmuth Baungarten Airport;BR;BR-SC;Lontras;SSLN;LOI;SSLN;-49.5424995422; -27.159999847399998
SSPB;small_airport;Pato Branco Airport;BR;BR-PR;Pato Branco;SSPB;PTO;SSPB;-52.69430160522461; -26.21780014038086
SSPG;small_airport;ParanaguÃ¡ Airport;BR;BR-PR;ParanaguÃ¡;SSPG;PNG;SSPG;-48.53120040893555; -25.54010009765625
SSPN;small_airport;ParanaÃ­ba Airport;BR;BR-MS;ParanaÃ­ba;SSPN;PBB;SSPN;-51.19940185546875; -19.651199340820312
SUMU;large_airport;Carrasco International /General C L Berisso Airport;UY;UY-CA;Montevideo;SUMU;MVD;;-56.0308; -34.838402
SVBC;large_airport;General JosÃ© Antonio Anzoategui International Airport;VE;VE-B;Barcelona;SVBC;BLA;;-64.692222; 10.111111
SVMC;medium_airport;La Chinita International Airport;VE;VE-V;Maracaibo;SVMC;MAR;;-71.7278594971; 10.5582084656
SWBG;small_airport;Pontes e Lacerda Airport;BR;BR-MT;Pontes e Lacerda;SWBG;LCB;;-59.3848; -15.1934
SWE;small_airport;Siwea Airport;PG;PG-MPL;Siwea;AYEW;SWE;SIW;147.580833; -6.284639
SWGI;small_airport;Gurupi Airport;BR;BR-TO;Gurupi;SWGI;GRP;SWGI;-49.132198333740234; -11.73960018157959
SWOB;small_airport;Fonte Boa Airport;BR;BR-AM;Fonte Boa;SWOB;FBA;SWOB;-66.0831985474; -2.5326099395800004
SWPI;small_airport;Parintins Airport;BR;BR-AM;Parintins;SWPI;PIN;SWPI;-56.777198791503906; -2.6730198860168457
SWRD;small_airport;Maestro Marinho Franco Airport;BR;BR-MT;RondonÃ³polis;SBRD;ROO;SBRD;-54.7248; -16.586
SYCJ;medium_airport;Cheddi Jagan International Airport;GY;GY-DE;Georgetown;SYCJ;GEO;SYGT;-58.25410079956055; 6.498549938201904
SYLP;small_airport;Lumid Pau Airport;GY;GY-UT;Lumid Pau;SYLP;LUB;;-59.4410018921; 2.3939299583399998
TGPZ;small_airport;Lauriston Airport;GD;GD-PA;Carriacou Island;TGPZ;CRU;;-61.472801208496094; 12.476099967956543
TIST;medium_airport;Cyril E. King Airport;VI;VI-U-A;Charlotte Amalie, Harry S. Truman Airport;TIST;STT;STT;-64.97339630126953; 18.337299346923828
TJBQ;medium_airport;Rafael Hernandez Airport;PR;PR-U-A;Aguadilla;TJBQ;BQN;BQN;-67.12940216064453; 18.49489974975586
TJCP;small_airport;Benjamin Rivera Noriega Airport;PR;PR-U-A;Culebra Island;TJCP;CPX;CPX;-65.304324; 18.313289
TJFA;medium_airport;Diego Jimenez Torres Airport;PR;PR-U-A;Fajardo;TJFA;FAJ;X95;-65.66190338134766; 18.308900833129883
TJPS;medium_airport;Mercedita Airport;PR;PR-U-A;Ponce;TJPS;PSE;PSE;-66.56300354003906; 18.00830078125
TJVQ;small_airport;Antonio Rivera Rodriguez Airport;PR;PR-U-A;Vieques Island;TJVQ;VQS;VQS;-65.493598938; 18.1347999573
TLPC;medium_airport;George F. L. Charles Airport;LC;LC-02;Castries;TLPC;SLU;;-60.992901; 14.0202
TNCC;medium_airport;Hato International Airport;CW;CW-U-A;Willemstad;TNCC;CUR;;-68.959801; 12.1889
TOK;small_airport;Torokina Airport;PG;PG-NSB;Torokina;;TOK;TKN;155.063; -6.2015
TXKF;medium_airport;L.F. Wade International International Airport;BM;BM-U-A;Hamilton;TXKF;BDA;;-64.67870330810547; 32.36399841308594
UAAA;large_airport;Almaty Airport;KZ;KZ-ALM;Almaty;UAAA;ALA;;77.04049682617188; 43.35210037231445
UATE;medium_airport;Aktau Airport;KZ;KZ-MAN;Aktau;UATE;SCO;;51.091999; 43.8601
UERS;medium_airport;Saskylakh Airport;RU;RU-SA;Saskylakh;UERS;SYS;;114.08000183105; 71.92790222168
UGSB;medium_airport;Batumi International Airport;GE;GE-AJ;Batumi;UGSB;BUS;;41.5997009277; 41.6102981567
UHPP;medium_airport;Yelizovo Airport;RU;RU-KAM;Petropavlovsk-Kamchatsky;UHPP;PKC;;158.45399475097656; 53.16790008544922
UUBI;medium_airport;Ivanovo South Airport;RU;RU-IVA;Ivanovo;UUBI;IWA;;40.940799713134766; 56.93939971923828
UWOO;medium_airport;Orenburg Central Airport;RU;RU-ORE;Orenburg;UWOO;REN;;55.45669937133789; 51.795799255371094
UWOR;medium_airport;Orsk Airport;RU;RU-ORE;Orsk;UWOR;OSW;;58.59560012817383; 51.0724983215332
VASD;medium_airport;Shirdi Airport;IN;IN-MM;Shirdi;VASD;SAG;;74.378889; 19.688611
VCCB;medium_airport;Batticaloa Airport;LK;LK-5;Batticaloa;VCCB;BTC;;81.678802; 7.70576
VDPP;large_airport;Phnom Penh International Airport;KH;KH-8;Phnom Penh;VDPP;PNH;;104.84400177001953; 11.546600341796875
VE-0206;small_airport;La Guaira Airport;VE;VE-X;La Guaira;;LAG;;-67.0333328247; 10.5333299637
VGCM;small_airport;Comilla Airport;BD;BD-2;Comilla;VGCM;CLA;;91.189697265625; 23.43720054626465
VGZR;large_airport;Hazrat Shahjalal International Airport;BD;BD-3;Dhaka;VGHS;DAC;;90.397783; 23.843347
VIB;closed;Villa ConstituciÃ³n Airport;MX;MX-BCS;Ciudad ConstituciÃ³n;;VIB;;-111.6874; 25.0552
VNBW;medium_airport;Gautam Buddha Airport;NP;NP-LU;Bhairawa;VNBW;BWA;;83.416293; 27.505685
VOHS;large_airport;Rajiv Gandhi International Airport;IN;IN-TG;Hyderabad;VOHS;HYD;;78.4298553467; 17.2313175201
VOMM;large_airport;Chennai International Airport;IN;IN-TN;Chennai;VOMM;MAA;;80.16929626464844; 12.990005493164062
VOPN;medium_airport;Sri Sathya Sai Airport;IN;IN-AP;Puttaparthi;VOPN;PUT;;77.7910995483; 14.1492996216
VOTV;large_airport;Trivandrum International Airport;IN;IN-KL;Thiruvananthapuram;VOTV;TRV;;76.9200973511; 8.48211956024
VRMD;small_airport;Dharavandhoo Airport;MV;MV-20;Baa Atoll;VRMD;DRV;;73.1302; 5.1561
VTSK;medium_airport;Pattani Airport;TH;TH-94;;VTSK;PAN;;101.15399932861328; 6.785459995269775
VTST;medium_airport;Trang Airport;TH;TH-92;;VTST;TST;;99.6166000366211; 7.508739948272705
VTUI;medium_airport;Sakon Nakhon Airport;TH;TH-47;;VTUI;SNO;;104.11900329589844; 17.195100784301758
VYKG;medium_airport;Kengtung Airport;MM;MM-17;Kengtung;VYKG;KET;;99.63600158691406; 21.301599502563477
WAJR;small_airport;Waris Airport;ID;ID-PA;Swach;WAJR;WAR;;140.994; -3.235
WAMP;medium_airport;Kasiguncu Airport;ID;ID-ST;Poso-Celebes Island;WAMP;PSJ;;120.657997131; -1.41674995422
WAPE;small_airport;Mangole Airport, Falabisahaya;ID;ID-MU;Mangole Island;WAPE;MAL;;125.83000183105469; -1.875789999961853
WAPH;small_airport;Oesman Sadik Airport, Labuha;ID;ID-MU;Labuha-Halmahera Island;WAPH;LAH;;127.50199890136719; -0.6352589726448059
WBKO;small_airport;Sepulot Airport;MY;MY-12;Sepulot;WBKO;SPE;;116.46700286865234; 4.732999801635742
WMKP;medium_airport;Penang International Airport;MY;MY-07;Penang;WMKP;PEN;;100.2770004272461; 5.297140121459961
WRKS;small_airport;Sabu-Tardanu Airport;ID;ID-NT;Sabu-Sawu Island;WATS;SAU;;121.8482; -10.4924
WSB;seaplane_base;Steamboat Bay Seaplane Base;US;US-AK;Steamboat Bay;WSB;WSB;WSB;-133.641998291; 55.5295982361
YABI;small_airport;Abingdon Downs Airport;AU;AU-QLD;;YABI;ABG;;143.167007446; -17.616699218799997
YAMT;small_airport;Amata Airport;AU;AU-SA;;YAMT;AMT;;131.20700073242188; -26.108299255371094
YBGB;small_airport;Beagle Bay Airport;AU;AU-WA;Beagle Bay;YBGB;BEE;;122.6464; -17.0165
YBTR;medium_airport;Blackwater Airport;AU;AU-QLD;;YBTR;BLT;;148.8070068359375; -23.603099822998047
YBWR;small_airport;Bolwarra Airport;AU;AU-QLD;;YBWR;BCK;;144.169006348; -17.388299942
YCBR;small_airport;Collarenebri Airport;AU;AU-NSW;;YCBR;CRB;;148.58200073242188; -29.521699905395508
YCCT;small_airport;Coconut Island Airport;AU;AU-QLD;;YCCT;CNC;;143.07000732421875; -10.050000190734863
YCCY;medium_airport;Cloncurry Airport;AU;AU-QLD;Cloncurry;YCCY;CNJ;;140.503997803; -20.668600082399998
YDLV;small_airport;Delissaville Airport;AU;AU-NT;;YDLV;DLV;;130.68499755859375; -12.550000190734863
YFBS;medium_airport;Forbes Airport;AU;AU-NSW;Forbes;YFBS;FRB;;147.934998; -33.363602
YGLB;medium_airport;Goulburn Airport;AU;AU-NSW;;YGLB;GUL;;149.7259979248047; -34.810298919677734
YHHY;small_airport;Highbury Airport;AU;AU-QLD;;YHHY;HIG;;143.145996094; -16.4244003296
YHID;medium_airport;Horn Island Airport;AU;AU-QLD;Horn Island;YHID;HID;;142.289993286; -10.586400032
YJDA;small_airport;Jundah Airport;AU;AU-QLD;;YJDA;JUN;;143.05799865722656; -24.841699600219727
YMDS;small_airport;Macdonald Downs Airport;AU;AU-NT;;YMDS;MNW;;135.199005127; -22.444000244099996
YMOT;small_airport;Moreton Airport;AU;AU-QLD;Moreton;YMOT;MET;;142.638000488; -12.444199562099998
YNRC;small_airport;Naracoorte Airport;AU;AU-SA;;YNRC;NAC;;140.72500610351562; -36.98529815673828
YNRG;small_airport;Narrogin Airport;AU;AU-WA;Narrogin;YNRG;NRG;;117.08000183105; -32.930000305176
YNSH;small_airport;Noosa Airport;AU;AU-QLD;;YNSH;NSV;;153.06300354003906; -26.42329978942871
YOOM;small_airport;Moomba Airport;AU;AU-SA;;YOOM;MOO;;140.19700622558594; -28.09939956665039
YPDA;small_airport;Parndana Airport;AU;AU-SA;Kangaroo Island;YPDA;PDN;YPDA;137.264; -35.807
YPPH;large_airport;Perth International Airport;AU;AU-WA;Perth;YPPH;PER;;115.96700286865234; -31.94029998779297
YRMD;small_airport;Richmond Airport;AU;AU-QLD;;YRMD;RCM;;143.11500549316406; -20.701900482177734
YSII;small_airport;Saibai Island Airport;AU;AU-QLD;Saibai Island;YSII;SBR;;142.625; -9.378330230710002
YTRE;medium_airport;Taree Airport;AU;AU-NSW;Taree;YTRE;TRO;;152.514007568; -31.8885993958
YWDA;small_airport;Windarra Airport;AU;AU-WA;;YWDA;WND;;122.241996765; -28.4750003815
YWOR;small_airport;Wollogorang Airport;AU;AU-NT;;YWOR;WLL;;137.93453; -17.2199
YWTN;medium_airport;Winton Airport;AU;AU-QLD;;YWTN;WIN;;143.08599853515625; -22.36359977722168
ZBAA;large_airport;Beijing Capital International Airport;CN;CN-11;Beijing;ZBAA;PEK;;116.58499908447266; 40.080101013183594
ZGGG;large_airport;Guangzhou Baiyun International Airport;CN;CN-44;Guangzhou;ZGGG;CAN;;113.29900360107422; 23.39240074157715
ZJQH;medium_airport;Qionghai Bo'ao Airport;CN;CN-46;Qionghai;ZJQH;BAR;;110.454775; 19.13824
ZSSS;large_airport;Shanghai Hongqiao International Airport;CN;CN-31;Shanghai;ZSSS;SHA;;121.33599853515625; 31.197900772094727
ZULB;small_airport;Libo Airport;CN;CN-52;Libo County;ZULB;LLB;;107.961667; 25.4525
ZULP;small_airport;Liangping Airport;CN;CN-50;Liangping;ZULP;LIA;;107.786003; 30.679399
ZYJS;medium_airport;Jiansanjiang Airport;CN;CN-23;Jiansanjiang;ZYJS;JSJ;;132.660278; 47.11
